2018-06-17 23:00:01,866  INFO SimpleUrlHandlerMapping:362 - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-06-17 23:00:01,903  INFO SimpleUrlHandlerMapping:362 - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-06-17 23:00:02,065  INFO FreeMarkerConfigurer:127 - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-06-17 23:00:02,254  INFO AnnotationMBeanExporter:431 - Registering beans for JMX exposure on startup
2018-06-17 23:00:02,302  INFO TomcatEmbeddedServletContainer:201 - Tomcat started on port(s): 8080 (http)
2018-06-17 23:00:02,305  INFO App:57 - Started App in 2.895 seconds (JVM running for 3.263)
2018-06-17 23:00:07,008  INFO DispatcherServlet:489 - FrameworkServlet 'dispatcherServlet': initialization started
2018-06-17 23:00:07,021  INFO DispatcherServlet:508 - FrameworkServlet 'dispatcherServlet': initialization completed in 13 ms
2018-06-17 23:01:28,338 ERROR LoggingApplicationListener:365 - Cannot set level: DEBUG  for '*'
2018-06-17 23:01:28,432  INFO App:48 - Starting App on SimonX with PID 7948 (D:\workspace\java_workspace\lotsweb\candy\target\classes started by Administrator in D:\workspace\java_workspace\lotsweb\candy)
2018-06-17 23:01:28,432  INFO App:593 - No active profile set, falling back to default profiles: default
2018-06-17 23:01:28,480  INFO AnnotationConfigEmbeddedWebApplicationContext:583 - Refreshing org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@60b431: startup date [Sun Jun 17 23:01:28 CST 2018]; root of context hierarchy
2018-06-17 23:01:28,842  INFO Version:30 - HV000001: Hibernate Validator 5.3.6.Final
2018-06-17 23:01:29,689  INFO TomcatEmbeddedServletContainer:89 - Tomcat initialized with port(s): 8080 (http)
2018-06-17 23:01:29,865  INFO ContextLoader:276 - Root WebApplicationContext: initialization completed in 1387 ms
2018-06-17 23:01:29,959  INFO ServletRegistrationBean:190 - Mapping servlet: 'dispatcherServlet' to [/]
2018-06-17 23:01:29,960  INFO FilterRegistrationBean:258 - Mapping filter: 'characterEncodingFilter' to: [/*]
2018-06-17 23:01:29,960  INFO FilterRegistrationBean:258 - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2018-06-17 23:01:29,961  INFO FilterRegistrationBean:258 - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2018-06-17 23:01:29,961  INFO FilterRegistrationBean:258 - Mapping filter: 'requestContextFilter' to: [/*]
2018-06-17 23:01:30,460  INFO RequestMappingHandlerAdapter:534 - Looking for @ControllerAdvice: org.springframework.boot.context.embedded.AnnotationConfigEmbeddedWebApplicationContext@60b431: startup date [Sun Jun 17 23:01:28 CST 2018]; root of context hierarchy
2018-06-17 23:01:30,519  INFO RequestMappingHandlerMapping:543 - Mapped "{[/]}" onto public java.lang.String org.lots.candy.web.UserController.index(org.springframework.ui.Model)
2018-06-17 23:01:30,522  INFO RequestMappingHandlerMapping:543 - Mapped "{[/error]}" onto public org.springframework.http.ResponseEntity<java.util.Map<java.lang.String, java.lang.Object>> org.springframework.boot.autoconfigure.web.BasicErrorController.error(javax.servlet.http.HttpServletRequest)
2018-06-17 23:01:30,522  INFO RequestMappingHandlerMapping:543 - Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)
2018-06-17 23:01:30,548  INFO SimpleUrlHandlerMapping:362 - Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-06-17 23:01:30,548  INFO SimpleUrlHandlerMapping:362 - Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-06-17 23:01:30,584  INFO SimpleUrlHandlerMapping:362 - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2018-06-17 23:01:30,740  INFO FreeMarkerConfigurer:127 - ClassTemplateLoader for Spring macros added to FreeMarker configuration
2018-06-17 23:01:30,923  INFO AnnotationMBeanExporter:431 - Registering beans for JMX exposure on startup
2018-06-17 23:01:30,967  INFO TomcatEmbeddedServletContainer:201 - Tomcat started on port(s): 8080 (http)
2018-06-17 23:01:30,974  INFO App:57 - Started App in 2.777 seconds (JVM running for 3.106)
2018-06-17 23:01:39,959  INFO DispatcherServlet:489 - FrameworkServlet 'dispatcherServlet': initialization started
2018-06-17 23:01:39,969  INFO DispatcherServlet:508 - FrameworkServlet 'dispatcherServlet': initialization completed in 9 ms
